relative compactness,surface area,wall area,roof area,overall height,orientation,glazing area,glazing area distribution
0.98,514.5,294,110.25,7,2,0,0
0.98,514.5,294,110.25,7,3,0,0
0.76,661.5,416.5,122.5,7,3,0,0
0.76,661.5,416.5,122.5,7,4,0,0
0.76,661.5,416.5,122.5,7,5,0,0
0.74,686,245,220.5,3.5,2,0,0
0.74,686,245,220.5,3.5,3,0,0
0.74,686,245,220.5,3.5,4,0,0
0.74,686,245,220.5,3.5,5,0,0
0.71,710.5,269.5,220.5,3.5,2,0,0
0.71,710.5,269.5,220.5,3.5,3,0,0
0.71,710.5,269.5,220.5,3.5,4,0,0
0.71,710.5,269.5,220.5,3.5,5,0,0
0.69,735,294,220.5,3.5,2,0,0
0.69,735,294,220.5,3.5,3,0,0
0.69,735,294,220.5,3.5,4,0,0
0.69,735,294,220.5,3.5,5,0,0
0.66,759.5,318.5,220.5,3.5,2,0,0
0.76,661.5,416.5,122.5,7,3,0.1,4
0.76,661.5,416.5,122.5,7,4,0.1,4
0.76,661.5,416.5,122.5,7,3,0.25,3
0.76,661.5,416.5,122.5,7,4,0.25,3
0.76,661.5,416.5,122.5,7,5,0.25,3
0.74,686,245,220.5,3.5,2,0.25,3
0.74,686,245,220.5,3.5,3,0.25,3
0.74,686,245,220.5,3.5,4,0.25,3
0.74,686,245,220.5,3.5,5,0.25,3
0.71,710.5,269.5,220.5,3.5,2,0.25,3
0.71,710.5,269.5,220.5,3.5,3,0.25,3
0.71,710.5,269.5,220.5,3.5,4,0.25,3
0.71,710.5,269.5,220.5,3.5,5,0.25,3
0.69,735,294,220.5,3.5,2,0.25,3
0.69,735,294,220.5,3.5,3,0.25,3
0.69,735,294,220.5,3.5,4,0.25,3
0.69,735,294,220.5,3.5,5,0.25,3
0.66,759.5,318.5,220.5,3.5,2,0.25,3
0.66,759.5,318.5,220.5,3.5,3,0.25,3
0.66,759.5,318.5,220.5,3.5,4,0.25,3
0.66,759.5,318.5,220.5,3.5,5,0.25,3
0.64,784,343,220.5,3.5,2,0.25,3
0.64,784,343,220.5,3.5,3,0.25,3
0.64,784,343,220.5,3.5,4,0.25,3
0.64,784,343,220.5,3.5,5,0.25,3
0.62,808.5,367.5,220.5,3.5,2,0.25,3
0.62,808.5,367.5,220.5,3.5,3,0.25,3
0.62,808.5,367.5,220.5,3.5,4,0.25,3
0.62,808.5,367.5,220.5,3.5,5,0.25,3
0.98,514.5,294,110.25,7,2,0.25,4
0.98,514.5,294,110.25,7,3,0.25,4
0.98,514.5,294,110.25,7,4,0.25,4
0.79,637,343,147,7,4,0.4,2
0.79,637,343,147,7,5,0.4,2
0.76,661.5,416.5,122.5,7,2,0.4,2
0.76,661.5,416.5,122.5,7,3,0.4,2
0.76,661.5,416.5,122.5,7,4,0.4,2
0.76,661.5,416.5,122.5,7,5,0.4,2
0.74,686,245,220.5,3.5,2,0.4,2
0.74,686,245,220.5,3.5,3,0.4,2
0.74,686,245,220.5,3.5,4,0.4,2
0.74,686,245,220.5,3.5,5,0.4,2
0.71,710.5,269.5,220.5,3.5,2,0.4,2
0.71,710.5,269.5,220.5,3.5,3,0.4,2
0.71,710.5,269.5,220.5,3.5,4,0.4,2
0.71,710.5,269.5,220.5,3.5,5,0.4,2
0.69,735,294,220.5,3.5,2,0.4,2
0.69,735,294,220.5,3.5,3,0.4,2
0.69,735,294,220.5,3.5,4,0.4,2
0.69,735,294,220.5,3.5,5,0.4,2
0.66,759.5,318.5,220.5,3.5,2,0.4,2
0.66,759.5,318.5,220.5,3.5,3,0.4,2
0.66,759.5,318.5,220.5,3.5,4,0.4,2
0.66,759.5,318.5,220.5,3.5,5,0.4,2
0.64,784,343,220.5,3.5,2,0.4,2
0.64,784,343,220.5,3.5,3,0.4,2
0.64,784,343,220.5,3.5,4,0.4,2
0.69,735,294,220.5,3.5,3,0.4,5
0.69,735,294,220.5,3.5,4,0.4,5
0.69,735,294,220.5,3.5,5,0.4,5
0.66,759.5,318.5,220.5,3.5,2,0.4,5
0.66,759.5,318.5,220.5,3.5,3,0.4,5
0.66,759.5,318.5,220.5,3.5,4,0.4,5
0.66,759.5,318.5,220.5,3.5,5,0.4,5
0.64,784,343,220.5,3.5,2,0.4,5
0.64,784,343,220.5,3.5,3,0.4,5
0.64,784,343,220.5,3.5,4,0.4,5
0.64,784,343,220.5,3.5,5,0.4,5
0.62,808.5,367.5,220.5,3.5,2,0.4,5
0.62,808.5,367.5,220.5,3.5,3,0.4,5
0.62,808.5,367.5,220.5,3.5,4,0.4,5
0.62,808.5,367.5,220.5,3.5,5,0.4,5
